Bucket #,JBX Range,Property,Range width,Source,Grind ,Comms ,Shadowiness,Perception,Strength,Arcana
1,1-99,OG Banny (Nammu),99,https://en.wikipedia.org/wiki/Nammu,0,0,5,4,0,5
2,100-199,Farceur,100,https://en.wikipedia.org/wiki/Farce,1,4,0,2,1,2
3,200-299,Bronson,100,"https://en.wikipedia.org/wiki/Fuck,_That%27s_Delicious",4,4,0,2,3,0
4,300-399,Johnny Utah,100,https://en.wikipedia.org/wiki/Point_Break,4,3,0,1,0,0
5,400-499,Farmer (Musa),100,https://en.wikipedia.org/wiki/Musa_acuminata,5,2,1,2,4,0
6,500-599,Primrose ,100,https://en.wikipedia.org/wiki/Primulaceae,2,4,0,4,1,1
7,600-699,Princess Peach Toadstool,100,https://en.wikipedia.org/wiki/Princess_Peach,3,5,0,3,2,1
8,700-799,Rose ,100,https://en.wikipedia.org/wiki/Rose_Bertin,4,4,0,2,2,0
9,800-899,Banmora ,100,https://en.wikipedia.org/wiki/Gamora,3,4,4,2,4,4
10,900-999,Banny Ipkiss,1000,https://en.wikipedia.org/wiki/The_Mask_(comics)#The_Mask:_Official_Movie_Adaptation,2,4,0,1,2,4
11,"1,000-1,999",John Row,1000,https://www.walkbostonhistory.com/history-blog/john-rowe-the-colonial-merchant-may-have-been-the-worlds-greatest-fisherman,4,1,1,4,3,0
12,"2,000-2,999",(Dorthy) Dotty Gale ,1000,https://oz.fandom.com/wiki/Dorothy_Gale,3,3,2,2,2,1
13,"3,000-3,999",Baobhan Sith,1000,https://en.wikipedia.org/wiki/Baobhan_sith,3,2,4,4,2,4
14,"4,000-4,999",Robin hood (Piers Plowman),1000,https://en.wikipedia.org/wiki/Piers_Plowman,3,5,4,2,2,2
15,"5,000-5,999",Viking (Ivar the Boneless),1000,https://en.wikipedia.org/wiki/Ivar_the_Boneless,5,0,2,4,4,1
16,"6,000-6,999",Punk (Johnny Rotten),1000,https://en.wikipedia.org/wiki/Sex_Pistols,4,3,1,2,2,2
17,"7,000-7,999",Sakura Haruno,1000,https://en.wikipedia.org/wiki/Sakura_Haruno,3,2,3,4,4,0
18,"8,000-8,999",Smalls,1000,https://en.wikipedia.org/wiki/The_Sandlot,2,3,3,4,1,1
19,"9,000-9,999",Rasta (Tafari Makonnen),1000,https://en.wikipedia.org/wiki/Haile_Selassie,2,3,2,5,3,1
20,"10,000-11,999",Rave (Mick),2000,https://en.wikipedia.org/wiki/Mick_Mulligan,3,4,3,3,1,2
